Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
BW PAVILION VANDA,9640437,565513000,Singapore,289,46,105945,91515,CORPUS CHRISTI USA,CorpusChristi,2021-04-19-12:00,9.5,1.31298 N/103.32045 E,312.1°,15.9 kn,-,2021-03-28,2021-03-16-16:02
CLEAN VISION,9655456,256245000,Malta,289,46,105943,89863,DUBAI,Dubai/PortRashid,2021-04-05-08:00,9.2,3.68558 N/100.17337 E,315.0°,18.6 kn,-,2021-03-28,2021-03-27-00:14
CLEAN OCEAN,9637492,538005350,Marshall Islands,289,46,105943,89956,ISLE OF GRAIN,Thamesport,2021-03-28-06:00,11.2,51.43218 N/0.70784 E,25.4°,0.0 kn,Moored,2021-03-28,2021-03-28-15:31
CLEAN HORIZON,9655444,256083000,Malta,289,46,105943,89831,CN QDG>EG SUZ,AsSuways/SuezPort,2021-03-27-13:00,9.3,22.70013 N/37.50717 E,337.1°,13.3 kn,-,2021-03-28,2021-03-25-21:50
CLEAN PLANET,9637507,538005351,Marshall Islands,289,46,105943,89848,BEZEE,Zeebrugge,2021-03-29-14:58,9.1,51.47331 N/2.79441 E,88.9°,3.0 kn,Under way,2021-03-28,2021-03-28-15:31
GOLAR GLACIER,9654696,538005373,Marshall Islands,289,46,105832,79602,FOR ORDERS,FOR ORDERS,2021-04-15-00:01,9.5,33.46904 S/17.51557 E,300.1°,19.6 kn,-,2021-03-28,2021-03-27-01:30
GOLAR KELVIN,9654701,538005374,Marshall Islands,289,46,105832,90607,FOR ORDERS,FOR ORDERS,2021-03-22-20:00,9.4,29.39998 N/93.22271 W,358.8°,12.5 kn,Under way,2021-03-28,2021-03-28-15:31
MARAN GAS APOLLONIA,9633422,241275000,Greece,289,46,105773,90434,FOR ORDERS,FOR ORDERS,2021-05-01-00:01,11.3,27.46591 N/96.37925 W,118.0°,17.7 kn,-,2021-03-28,2021-03-22-12:07
MARAN GAS POSIDONIA,9633434,241290000,Greece,289,46,105773,90349,"CAMERON, USA","CAMERON, USA",2021-04-19-05:01,9.2,34.49036 S/18.04891 E,309.3°,15.3 kn,Under way,2021-03-28,2021-03-28-06:22
MARAN GAS SPARTA,9650042,241289000,Greece,289,46,105773,90392,FOR ORDERS,FOR ORDERS,2021-03-26-23:00,11.2,38.79954 N/118.23332 E,330.1°,0.1 kn,At anchor,2021-03-28,2021-03-28-15:29
LNG VESTA,9020766,431642000,Liberia,272,47,105708,68522,-,-,-,5.4,1.29651 N/103.65775 E,177.9°,0.1 kn,-,2021-03-28,2020-05-08-06:36
SERI BAKTI,9331634,533380000,Malaysia,290,47,105335,90065,SOUTH CHINA SEA,SOUTH CHINA SEA,2021-04-05-21:00,11.0,18.97841 S/115.55204 E,39.7°,14.9 kn,-,2021-03-28,2021-03-25-15:42
SERI BEGAWAN,9331646,533016000,Malaysia,290,47,105335,89902,MYPGG,Pengerang,2021-04-06-00:01,10.6,21.72317 S/153.20659 E,16.6°,17.1 kn,-,2021-03-28,2021-03-26-19:54
NORTHWEST SANDPIPER,8913150,503002000,Australia,272,47,105010,66768,SG SIN,Singapore,2021-04-02-01:00,8.9,19.06083 S/117.55208 E,26.0°,13.3 kn,-,2021-03-28,2021-03-08-12:01
KARMOL LNGT POWERSHIP AFRICA,9043677,636019705,Liberia,272,47,104968,70593,RAFFLES ANCHORAGE,RAFFLES ANCHORAGE,2021-03-19-08:00,10.1,1.1758 N/103.7568 E,327.0°,0.4 kn,At anchor,2021-03-28,2021-03-28-15:30
SERI BIJAKSANA,9331658,533051000,Malaysia,290,47,104881,89953,SG-PEBGB,Singapore,2021-03-28-00:30,7.6,1.32312 N/104.17585 E,147.0°,0.0 kn,-,2021-03-28,2021-03-28-15:26
