,IMO,Dport,Dcountry,Dtime,Aport,Acountry,Atime,D_NA,A_NA,D_SA,A_SA,D_AS,A_AS,D_OC,A_OC,D_AF,A_AF,D_EU,A_EU,Eur_Spot_0,Eur_Spot_-3,Eur_Spot_-6,Eur_Spot_-9,Eur_Spot_-12,US_Spot_0,US_Spot_-3,US_Spot_-6,US_Spot_-9,US_Spot_-12,Asia_Fut_0,Asia_Fut_-3,Asia_Fut_-6,Asia_Fut_-9,Asia_Fut_-12,Eur_Fut_0,Eur_Fut_-3,Eur_Fut_-6,Eur_Fut_-9,Eur_Fut_-12
45,9016492,Macun, China,2021-04-05,Yangpu Anch., China,2021-04-06,0,0,0,0,1,1,0,0,0,0,0,0,19.175,19.175,18.332,18.585,18.257,2.43,2.52,2.55,2.52,2.56,9.06,9.06,9.06,9.06,9.06,19.794,19.159,18.84,18.68,18.568
46,9016492,Yangpu Anch., China,2021-04-06,"Bintulu,Sarawak", Malaysia,2021-04-22,0,0,0,0,1,1,0,0,0,0,0,0,19.245,19.175,18.607,18.585,18.662,2.44,2.52,2.52,2.58,2.52,9.06,9.06,9.06,9.06,9.06,19.794,19.159,18.967,18.445,18.363
47,9018555,Incheon, Korea,2021-02-24,Anjeong, Korea,2021-03-14,0,0,0,0,1,1,0,0,0,0,0,0,16.009,16.625,16.743,17.671,18.016,2.8,3.16,8.56,11.32,6.12,9.06,9.06,9.06,9.06,9.06,16.352999999999998,15.973,17.355999999999998,16.567999999999998,17.599
48,9018555,Anjeong, Korea,2021-03-14,Anjeong, Korea,2021-03-31,0,0,0,0,1,1,0,0,0,0,0,0,18.353,17.709,16.601,16.235,16.322,2.58,2.7,2.67,2.72,2.87,9.06,9.06,9.06,9.06,9.06,17.910999999999994,18.138,16.155,16.368,15.89
49,9018555,Anjeong, Korea,2021-03-31,Oita, Japan,2021-04-19,0,0,0,0,1,1,0,0,0,0,0,0,18.607,18.585,18.662,17.737000000000005,18.347,2.52,2.58,2.52,2.55,2.53,9.06,9.06,9.06,9.06,9.06,18.967,18.445,18.363,18.008,17.262
50,9030802,"Bintulu,Sarawak", Malaysia,2021-02-27,Sakaide, Japan,2021-03-06,0,0,0,0,1,1,0,0,0,0,0,0,15.839,16.009,16.625,16.743,17.671,2.66,2.8,3.16,8.56,11.32,9.06,9.06,9.06,9.06,9.06,15.722,16.352999999999998,15.973,17.355999999999998,16.567999999999998
51,9030802,Sakaide, Japan,2021-03-06,Kitakyushu, Japan,2021-03-24,0,0,0,0,1,1,0,0,0,0,0,0,16.569000000000006,16.255,15.839,16.067999999999998,16.697,2.72,2.86,2.7,2.72,3.16,9.06,9.06,9.06,9.06,9.06,16.368,15.558,16.05,15.904000000000002,15.973
52,9030802,Kitakyushu, Japan,2021-03-24,Anegasaki, Japan,2021-04-13,0,0,0,0,1,1,0,0,0,0,0,0,18.257,17.664,18.061,18.42,17.97,2.56,2.55,2.45,2.58,2.65,9.06,9.06,9.06,9.06,9.06,18.568,18.008,17.749000000000006,17.910999999999994,18.454
53,9030814,Nagoya, Japan,2021-02-28,Boryeong, Korea,2021-03-16,0,0,0,0,1,1,0,0,0,0,0,0,15.839,16.067999999999998,16.697,16.884,16.783,2.7,2.72,3.16,4.96,11.32,9.06,9.06,9.06,9.06,9.06,16.05,15.904000000000002,15.973,16.552,16.688
54,9030814,Boryeong, Korea,2021-03-16,"Bintulu,Sarawak", Malaysia,2021-03-23,0,0,0,0,1,1,0,0,0,0,0,0,18.564,18.353,17.102999999999998,16.569000000000006,15.915,2.5,2.65,2.62,2.67,2.79,9.06,9.06,9.06,9.06,9.06,17.66,18.454,17.561,16.155,15.981
55,9030814,"Bintulu,Sarawak", Malaysia,2021-03-23,Mab Tapud, Thailand,2021-03-26,0,0,0,0,1,1,0,0,0,0,0,0,18.137,17.664,17.803,18.353,17.709,2.56,2.53,2.6,2.58,2.7,9.06,9.06,9.06,9.06,9.06,18.38,17.262,17.999000000000006,17.910999999999994,18.138
56,9030814,Mab Tapud, Thailand,2021-03-26,Hongqiao, China,2021-04-16,0,0,0,0,1,1,0,0,0,0,0,0,18.494,18.137,17.664,17.803,18.353,2.52,2.56,2.53,2.6,2.58,9.06,9.06,9.06,9.06,9.06,18.68,18.38,17.262,17.999000000000006,17.910999999999994
57,9030826,"Bintulu,Sarawak", Malaysia,2021-02-13,Yokohama, Japan,2021-02-21,0,0,0,0,1,1,0,0,0,0,0,0,17.664,19.791,18.787,17.674,18.394,6.12,3.76,3.4,2.99,2.88,9.06,9.06,9.06,9.06,9.06,17.599,18.581,20.157,20.157,20.157
58,9030826,Yokohama, Japan,2021-02-21,Yokkaichi, Japan,2021-03-07,0,0,0,0,1,1,0,0,0,0,0,0,16.625,16.743,17.671,18.016,20.853,3.16,8.56,11.32,6.12,3.35,9.06,9.06,9.06,9.06,9.06,15.973,17.355999999999998,16.567999999999998,17.599,19.109
59,9030826,Yokkaichi, Japan,2021-03-07,Nagoya, Japan,2021-04-03,0,0,0,0,1,1,0,0,0,0,0,0,16.569000000000006,15.915,15.885,16.077,15.841,2.67,2.79,2.7,2.66,2.94,9.06,9.06,9.06,9.06,9.06,16.155,15.981,16.05,15.722,16.258
60,9030826,Nagoya, Japan,2021-04-03,"Bintulu,Sarawak", Malaysia,2021-04-18,0,0,0,0,1,1,0,0,0,0,0,0,19.175,18.607,18.585,18.662,17.737000000000005,2.52,2.52,2.58,2.52,2.55,9.06,9.06,9.06,9.06,9.06,19.159,18.967,18.445,18.363,18.008
61,9030838,Nagoya Anch., Japan,2021-02-26,Nagoya, Japan,2021-02-27,0,0,0,0,1,1,0,0,0,0,0,0,16.077,15.841,16.625,16.532,17.664,2.66,2.94,4.96,23.86,6.12,9.06,9.06,9.06,9.06,9.06,15.722,16.258,16.552,16.554000000000002,16.567999999999998
62,9030838,Nagoya, Japan,2021-02-27,Anjeong, Korea,2021-03-18,0,0,0,0,1,1,0,0,0,0,0,0,15.839,16.009,16.625,16.743,17.671,2.66,2.8,3.16,8.56,11.32,9.06,9.06,9.06,9.06,9.06,15.722,16.352999999999998,15.973,17.355999999999998,16.567999999999998
63,9030838,Anjeong, Korea,2021-03-18,Okpo Anch., Korea,2021-03-19,0,0,0,0,1,1,0,0,0,0,0,0,18.061,18.42,17.97,16.729,16.569000000000006,2.45,2.58,2.65,2.62,2.72,9.06,9.06,9.06,9.06,9.06,17.749000000000006,17.910999999999994,18.454,16.925,16.368
64,9030838,Okpo Anch., Korea,2021-03-19,Incheon, Korea,2021-04-02,0,0,0,0,1,1,0,0,0,0,0,0,18.347,18.564,18.353,17.102999999999998,16.569000000000006,2.53,2.5,2.65,2.62,2.67,9.06,9.06,9.06,9.06,9.06,17.262,17.66,18.454,17.561,16.155
65,9030838,Incheon, Korea,2021-04-02,Yokkaichi, Japan,2021-04-21,0,0,0,0,1,1,0,0,0,0,0,0,19.175,18.332,18.585,18.257,17.664,2.52,2.55,2.52,2.56,2.55,9.06,9.06,9.06,9.06,9.06,19.159,18.84,18.68,18.568,18.008
66,9035852,Al Fujayrah Anch., United Arab Emirates (UAE),2021-03-17,Das Island Anch., United Arab Emirates (UAE),2021-03-21,0,0,0,0,1,1,0,0,0,0,0,0,17.803,18.353,17.709,16.601,16.235,2.6,2.58,2.7,2.67,2.72,9.06,9.06,9.06,9.06,9.06,17.999000000000006,17.910999999999994,18.138,16.155,16.368
67,9035852,Das Island Anch., United Arab Emirates (UAE),2021-03-21,Das Island, United Arab Emirates (UAE),2021-03-22,0,0,0,0,1,1,0,0,0,0,0,0,17.664,18.061,18.42,17.97,16.729,2.55,2.45,2.58,2.65,2.62,9.06,9.06,9.06,9.06,9.06,18.008,17.749000000000006,17.910999999999994,18.454,16.925
68,9035852,Das Island, United Arab Emirates (UAE),2021-03-22,Dahej, India,2021-04-01,0,0,0,0,1,1,0,0,0,0,0,0,17.737000000000005,18.347,18.564,18.353,17.102999999999998,2.55,2.53,2.5,2.65,2.62,9.06,9.06,9.06,9.06,9.06,18.008,17.262,17.66,18.454,17.561
69,9035852,Dahej, India,2021-04-01,Al Fujayrah Anch., United Arab Emirates (UAE),2021-04-06,0,0,0,0,1,1,0,0,0,0,0,0,19.065,18.628,18.494,18.137,17.664,2.52,2.58,2.52,2.56,2.53,9.06,9.06,9.06,9.06,9.06,19.159,18.445,18.68,18.38,17.262
70,9035864,Shenzhen, China,2021-03-04,"Pasir Gudang,Johor Anch.", Malaysia,2021-03-21,0,0,0,0,1,1,0,0,0,0,0,0,15.915,15.885,16.077,15.841,16.625,2.79,2.7,2.66,2.94,4.96,9.06,9.06,9.06,9.06,9.06,15.981,16.05,15.722,16.258,16.552
71,9035864,"Pasir Gudang,Johor Anch.", Malaysia,2021-03-21,Al Fujayrah Anch., United Arab Emirates (UAE),2021-04-02,0,0,0,0,1,1,0,0,0,0,0,0,17.664,18.061,18.42,17.97,16.729,2.55,2.45,2.58,2.65,2.62,9.06,9.06,9.06,9.06,9.06,18.008,17.749000000000006,17.910999999999994,18.454,16.925
