IMO,Port,Country,Arrival,Departure,In Port
9863182,Gladstone, Australia,"Mar 6, 08:14","Mar 7, 08:52","1d"
9305128,Tangguh, Indonesia,"Apr 21, 01:55","Apr 22, 11:52","1d 9h"
9305128,Tangguh Anch., Indonesia,"Apr 19, 23:37","Apr 20, 23:40","1d"
9305128,Xiuyu, China,"Apr 12, 22:58","Apr 14, 01:01","1d 2h"
9305128,Tangguh, Indonesia,"Apr 4, 06:55","Apr 5, 22:02","1d 15h"
9305128,Tangguh Anch., Indonesia,"Mar 29, 22:00","Apr 4, 05:16","5d 7h"
9850678,Yangkou, China,"Apr 7, 05:57","Apr 8, 08:16","1d 2h"
9850678,Wheatstone LNG Term., Australia,"Mar 27, 02:11","Mar 28, 05:10","1d 2h"
9850678,Jakarta Anch., Indonesia,"Mar 22, 01:56","Mar 22, 16:58","15h 2m"
9850678,Singapore Anch. 1, Singapore,"Mar 8, 05:00","Mar 9, 23:25","1d 18h"
9850678,Dalian, China,"-","Feb 27, 07:51","-"
9613147,Barrow Island Anch., Australia,"Apr 27, 02:08","-","-"
9613147,Singapore Anch. 1, Singapore,"Apr 22, 14:41","Apr 23, 07:58","17h 17m"
9613147,Caofeidian, China,"Apr 13, 02:16","Apr 14, 09:13","1d 6h"
9613147,Barrow Island, Australia,"Apr 1, 17:14","Apr 2, 18:30","1d 1h"
9613147,Barrow Island Anch., Australia,"Mar 25, 09:55","Apr 1, 14:19","7d 4h"
9682552,Anegasaki, Japan,"Apr 7, 02:38","Apr 8, 05:17","1d 2h"
9682552,Seria, Brunei,"Mar 27, 05:26","Mar 29, 00:53","1d 19h"
9682552,Anegasaki, Japan,"Mar 15, 04:01","Mar 16, 06:09","1d 2h"
9682552,Seria, Brunei,"Mar 5, 09:47","Mar 6, 19:31","1d 9h"
9132791,Ras Laffan, Qatar,"Apr 25, 12:43","Apr 26, 10:14","21h 31m"
9132791,Singapore Anch. 1, Singapore,"Apr 13, 04:40","Apr 13, 23:33","18h 52m"
9132791,Kawasaki, Japan,"Apr 3, 02:57","Apr 4, 02:07","23h 10m"
9132791,Ras Laffan Anch., Qatar,"Mar 15, 00:43","Mar 16, 09:51","1d 9h"
9132791,Ras Laffan, Qatar,"Mar 13, 12:13","Mar 15, 00:11","1d 11h"
9834325,Port Said Anch., Egypt,"Apr 9, 13:28","Apr 10, 03:28","14h"
9834325,Milford Haven, United Kingdom (UK),"Mar 7, 16:13","Mar 8, 20:47","1d 4h"
9834325,Murmansk, Russia,"Mar 1, 16:54","Mar 1, 23:00","6h 5m"
9183269,Incheon, Korea,"Apr 23, 03:22","Apr 24, 23:29","1d 20h"
9183269,Qalhat, Oman,"Apr 8, 04:29","Apr 9, 07:10","1d 2h"
9183269,Incheon, Korea,"Mar 24, 03:23","Mar 25, 04:32","1d 1h"
9870159,Panama Canal Anch. Pacific, Panama,"Apr 26, 07:23","Apr 26, 09:19","1h 56m"
9870159,Panama Canal Anch. Pacific, Panama,"Apr 25, 19:16","Apr 26, 04:16","9h"
9870159,Okpo Anch., Korea,"Apr 4, 02:05","-","-"
9870159,Gohyeon, Korea,"Mar 4, 23:56","Apr 4, 00:02","30d"
9870159,Gohyeon Anch., Korea,"Mar 3, 22:20","Mar 4, 23:35","1d 1h"
9329291,Singapore Anch. 1, Singapore,"Apr 11, 04:07","Apr 12, 00:01","19h 54m"
9329291,Singapore, Singapore,"Mar 6, 05:16","Apr 11, 04:01","35d 22h"
9329291,Pasir Gudang,"Johor Anch., Malaysia","Mar 3, 01:41","Mar 3, 07:58","6h 17m"
9293832,Yokkaichi, Japan,"Apr 24, 06:55","Apr 25, 05:14","22h 18m"
9293832,Tieshan, China,"Apr 9, 04:29","Apr 10, 09:18","1d 4h"
9293832,Bintulu,"Sarawak, Malaysia","Apr 3, 23:29","Apr 5, 00:02","1d"
9293832,Toyamashinko, Japan,"Mar 17, 00:15","Mar 18, 02:34","1d 2h"
9085651,Ras Laffan, Qatar,"Apr 19, 16:33","Apr 20, 23:36","1d 7h"
9085651,Ras Laffan Anch., Qatar,"Apr 15, 02:04","Apr 19, 16:04","4d 14h"
9085651,Sendai, Japan,"Mar 28, 01:29","Mar 29, 01:47","1d"
9085651,Ras Laffan, Qatar,"Mar 8, 17:44","Mar 9, 16:05","22h 20m"
9085651,Singapore Anch. 1, Singapore,"-","Feb 27, 03:58","-"
9030802,Sakai, Japan,"Apr 27, 05:58","Apr 28, 08:40","1d 2h"
9030802,Bintulu,"Sarawak, Malaysia","Apr 20, 07:25","Apr 21, 07:02","23h 37m"
9030802,Anegasaki, Japan,"Apr 13, 03:14","Apr 14, 04:27","1d 1h"
9030802,Bintulu,"Sarawak, Malaysia","-","Apr 6, 09:07","-"
9030802,Kitakyushu, Japan,"Mar 24, 01:52","Mar 25, 03:41","1d 1h"
9645736,Sakai, Japan,"Apr 7, 02:33","Apr 8, 03:34","1d 1h"
9645736,Singapore Anch. 1, Singapore,"Mar 15, 07:07","Mar 15, 22:31","15h 24m"
9645736,Sakai, Japan,"Mar 8, 00:55","Mar 9, 02:12","1d 1h"
9260603,Tokushima, Japan,"Apr 26, 01:35","Apr 26, 06:28","4h 53m"
9260603,Kokura, Japan,"Apr 20, 00:20","Apr 23, 06:46","3d 6h"
9260603,Matsuyama, Japan,"Apr 19, 00:27","Apr 19, 05:29","5h 2m"
9260603,Shikama, Japan,"Apr 16, 23:33","Apr 17, 06:14","6h 40m"
9260603,Tokushima, Japan,"Apr 14, 22:34","Apr 15, 03:46","5h 11m"
9872901,Ulsan, Korea,"Mar 23, 04:55","-","-"
9872901,Ulsan, Korea,"Mar 8, 00:09","Mar 23, 04:48","15d 4h"
9351971,Withnell Bay, Australia,"Apr 22, 02:52","Apr 23, 03:42","1d"
9351971,Dapeng, China,"Apr 5, 03:30","Apr 6, 04:26","1d"
9351971,Withnell Bay, Australia,"Mar 23, 00:46","Mar 24, 01:24","1d"
9351971,Withnell Bay, Australia,"-","Feb 28, 00:51","-"
9180231,Okpo Anch., Korea,"Apr 16, 03:32","-","-"
9180231,Anjeong, Korea,"Apr 15, 03:53","Apr 16, 01:31","21h 38m"
9180231,Qalhat, Oman,"Mar 30, 12:41","Mar 31, 13:21","1d"
9180231,Anjeong, Korea,"Mar 16, 03:55","Mar 17, 01:32","21h 37m"
9180231,Qalhat, Oman,"Feb 28, 12:49","Mar 1, 11:01","22h 12m"
9307176,Ras Laffan, Qatar,"Apr 19, 22:39","Apr 21, 10:05","1d 11h"
9307176,Singapore Anch. 1, Singapore,"Apr 10, 17:07","Apr 11, 14:31","21h 23m"
9307176,Taichung, Taiwan,"Apr 5, 21:36","Apr 6, 22:36","1d"
9307176,Ras Laffan, Qatar,"Mar 18, 04:45","Mar 20, 16:19","2d 11h"
9307176,Ras Laffan Anch., Qatar,"Mar 8, 14:14","Mar 18, 04:18","9d 14h"
9862475,Daebul/Yeongam-gun, Korea,"Mar 15, 00:30","-","-"
9862475,Gwangyang, Korea,"Mar 9, 23:35","-","-"
